value	HGNC ID
A1BG	HGNC:5
A1BG-AS1	HGNC:37133
A1CF	HGNC:24086
A2M	HGNC:7
A2M-AS1	HGNC:27057
A2ML1	HGNC:23336
A2ML1-AS1	HGNC:41022
A2ML1-AS2	HGNC:41523
A2MP1	HGNC:8
A3GALT2	HGNC:30005
A4GALT	HGNC:18149
A4GNT	HGNC:17968
AAAS	HGNC:13666
AACS	HGNC:21298
AACSP1	HGNC:18226
AADAC	HGNC:17
AADACL2	HGNC:24427
AADACL2-AS1	HGNC:50301
AADACL3	HGNC:32037
AADACL4	HGNC:32038
AADACP1	HGNC:50305
AADAT	HGNC:17929
AAGAB	HGNC:25662
AAK1	HGNC:19679
AAMDC	HGNC:30205
AAMP	HGNC:18
AANAT	HGNC:19
AAR2	HGNC:15886
AARD	HGNC:33842
AARS1	HGNC:20
AARS1P1	HGNC:49894
AARS2	HGNC:21022
AARSD1	HGNC:28417
AARSD1P1	HGNC:54994
AASDH	HGNC:23993
AASDHPPT	HGNC:14235
AASS	HGNC:17366
AATBC	HGNC:51526
AATF	HGNC:19235
AATK	HGNC:21
AAVS1	HGNC:22
ABALON	HGNC:49667
ABAT	HGNC:23
ABCA1	HGNC:29
ABCA2	HGNC:32
ABCA3	HGNC:33
ABCA3P1	HGNC:55707
ABCA4	HGNC:34
ABCA5	HGNC:35
ABCA6	HGNC:36
ABCA7	HGNC:37
ABCA8	HGNC:38
ABCA9	HGNC:39
ABCA9-AS1	HGNC:39983
ABCA10	HGNC:30
ABCA11P	HGNC:31
ABCA12	HGNC:14637
ABCA13	HGNC:14638
ABCA15P	HGNC:34405
ABCA17P	HGNC:32972
ABCB1	HGNC:40
ABCB4	HGNC:45
ABCB5	HGNC:46
ABCB6	HGNC:47
ABCB7	HGNC:48
ABCB8	HGNC:49
ABCB9	HGNC:50
ABCB10	HGNC:41
ABCB10P1	HGNC:14114
ABCB10P3	HGNC:31129
ABCB10P4	HGNC:31130
ABCB11	HGNC:42
ABCC1	HGNC:51
ABCC2	HGNC:53
ABCC3	HGNC:54
ABCC4	HGNC:55
ABCC5	HGNC:56
ABCC5-AS1	HGNC:40055
ABCC6	HGNC:57
ABCC6P1	HGNC:33352
ABCC6P2	HGNC:33353
ABCC8	HGNC:59
ABCC9	HGNC:60
ABCC10	HGNC:52
ABCC11	HGNC:14639
ABCC12	HGNC:14640
ABCC13	HGNC:16022
ABCD1	HGNC:61
ABCD1P1	HGNC:62
ABCD1P2	HGNC:63
ABCD1P3	HGNC:64
ABCD1P4	HGNC:65
ABCD1P5	HGNC:42662
ABCD2	HGNC:66
ABCD3	HGNC:67
ABCD4	HGNC:68
ABCE1	HGNC:69
ABCF1	HGNC:70
ABCF1-DT	HGNC:53628
ABCF2	HGNC:71
ABCF2-H2BK1	HGNC:54751
ABCF2P1	HGNC:48841
ABCF2P2	HGNC:48842
ABCF3	HGNC:72
ABCG1	HGNC:73
ABCG2	HGNC:74
ABCG4	HGNC:13884
ABCG5	HGNC:13886
ABCG8	HGNC:13887
ABHD1	HGNC:17553
ABHD2	HGNC:18717
ABHD3	HGNC:18718
ABHD4	HGNC:20154
ABHD5	HGNC:21396
ABHD6	HGNC:21398
ABHD8	HGNC:23759
ABHD10	HGNC:25656
ABHD11	HGNC:16407
ABHD12	HGNC:15868
ABHD12B	HGNC:19837
ABHD13	HGNC:20293
ABHD14A	HGNC:24538
ABHD14A-ACY1	HGNC:38856
ABHD14B	HGNC:28235
ABHD15	HGNC:26971
ABHD15-AS1	HGNC:49685
ABHD16A	HGNC:13921
ABHD16B	HGNC:16128
ABHD17A	HGNC:28756
ABHD17AP1	HGNC:28394
ABHD17AP3	HGNC:34041
ABHD17AP4	HGNC:34042
ABHD17AP5	HGNC:34043
ABHD17AP6	HGNC:34044
ABHD17AP7	HGNC:38508
ABHD17AP8	HGNC:38509
ABHD17AP9	HGNC:38510
ABHD17B	HGNC:24278
ABHD17C	HGNC:26925
ABHD18	HGNC:26111
ABI1	HGNC:11320
ABI1P1	HGNC:20035
ABI2	HGNC:24011
ABI3	HGNC:29859
ABI3BP	HGNC:17265
ABITRAM	HGNC:1364
ABITRAMP1	HGNC:39851
ABL1	HGNC:76
ABL2	HGNC:77
ABLIM1	HGNC:78
ABLIM2	HGNC:19195
ABLIM3	HGNC:29132
ABO	HGNC:79
ABR	HGNC:81
ABR-AS1	HGNC:55674
ABRA	HGNC:30655
ABRACL	HGNC:21230
ABRAXAS1	HGNC:25829
ABRAXAS1P1	HGNC:56461
ABRAXAS1P2	HGNC:56462
ABRAXAS2	HGNC:28975
ABT1	HGNC:17369
ABT1P1	HGNC:39557
ABTB1	HGNC:18275
ABTB2	HGNC:23842
ABTB3	HGNC:23844
ACAA1	HGNC:82
ACAA2	HGNC:83
ACAA2P1	HGNC:55880
ACACA	HGNC:84
ACACB	HGNC:85
ACAD8	HGNC:87
ACAD9	HGNC:21497
ACAD9-DT	HGNC:56086
ACAD10	HGNC:21597
ACAD11	HGNC:30211
ACADL	HGNC:88
ACADM	HGNC:89
ACADS	HGNC:90
ACADSB	HGNC:91
ACADVL	HGNC:92
ACAN	HGNC:319
ACAP1	HGNC:16467
ACAP2	HGNC:16469
ACAP2-IT1	HGNC:41426
ACAP3	HGNC:16754
ACAT1	HGNC:93
ACAT2	HGNC:94
ACBD3	HGNC:15453
ACBD3-AS1	HGNC:40701
ACBD4	HGNC:23337
ACBD5	HGNC:23338
ACBD6	HGNC:23339
ACBD7	HGNC:17715
ACCS	HGNC:23989
ACCSL	HGNC:34391
ACD	HGNC:25070
ACE	HGNC:2707
ACE2	HGNC:13557
ACE2-DT	HGNC:56255
ACE3P	HGNC:44365
ACER1	HGNC:18356
ACER2	HGNC:23675
ACER2P1	HGNC:54674
ACER3	HGNC:16066
ACHE	HGNC:108
ACIN1	HGNC:17066
ACKR1	HGNC:4035
ACKR2	HGNC:1565
ACKR3	HGNC:23692
ACKR4	HGNC:1611
ACKR4P1	HGNC:21142
ACLY	HGNC:115
ACMSD	HGNC:19288
ACNATP	HGNC:34504
ACO1	HGNC:117
ACO2	HGNC:118
ACOD1	HGNC:33904
ACOT1	HGNC:33128
ACOT2	HGNC:18431
ACOT4	HGNC:19748
ACOT6	HGNC:33159
ACOT7	HGNC:24157
ACOT8	HGNC:15919
ACOT9	HGNC:17152
ACOT11	HGNC:18156
ACOT12	HGNC:24436
ACOT13	HGNC:20999
ACOX1	HGNC:119
ACOX2	HGNC:120
ACOX3	HGNC:121
ACOXL	HGNC:25621
ACOXL-AS1	HGNC:41112
ACP1	HGNC:122
ACP2	HGNC:123
ACP3	HGNC:125
